id_x,price,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,availability_eoy,number_of_reviews,number_of_reviews_l30d,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,distance_to_center,neighbourhood_cleansed_Dn Laoghaire-Rathdown,neighbourhood_cleansed_Dublin City,neighbourhood_cleansed_Fingal,neighbourhood_cleansed_South Dublin,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,compound_scores,season_Spring,season_Summer,season_Autumn
45345331,100.0,4,80.0,71.0,0,1.0,1,1,53.37679846757101,-6.311072482321921,2,1.5,1.0,1.0,7,60,10,22,31,31,31,15,1,2,70,7000.0,4.73,4.8,4.53,4.93,5.0,4.73,4.73,0,0.36,4.522517192708498,0,1,0,0,1,0,0,0,0.6841200000000001,0.4,0.2,0.06666666666666667
45430383,430.0,4,98.0,90.0,0,44.0,1,1,53.34605,-6.26308,5,1.0,2.0,4.0,2,30,10,21,33,118,113,18,0,0,0,0.0,4.0,4.17,4.06,4.17,4.61,4.61,4.11,1,0.5,0.45656908925382733,0,1,0,0,1,0,0,0,0.5938944444444444,0.2222222222222222,0.5,0.2222222222222222
45430662,557.0,4,98.0,90.0,0,44.0,1,1,53.33111387551923,-6.247826803712967,7,2.0,3.0,6.0,2,30,1,26,51,165,160,47,1,17,72,40104.0,4.4,4.21,4.57,4.23,4.6,4.7,4.3,1,0.83,2.239443372872753,0,1,0,0,1,0,0,0,0.5531511111111111,0.24444444444444444,0.2,0.3333333333333333
45461628,57.0,4,80.0,86.0,0,6.0,1,1,53.33176,-6.26939,2,1.0,0.0,1.0,14,360,3,3,3,3,3,13,0,0,0,0.0,4.38,4.31,4.92,4.54,4.85,4.92,4.46,0,0.23,2.0970270645736493,0,1,0,0,1,0,0,0,0.7297615384615385,0.07692307692307693,0.46153846153846156,0.3076923076923077
45478728,341.0,4,100.0,91.0,1,5.0,1,1,53.3527,-6.28583,7,2.5,3.0,5.0,4,21,3,8,13,185,60,121,1,38,255,86955.0,4.88,4.87,4.74,4.92,4.87,4.89,4.86,0,2.22,1.730435626412672,0,1,0,0,1,0,0,0,0.7834702479338842,0.3305785123966942,0.2809917355371901,0.23140495867768596
45483905,167.0,2,86.0,59.0,0,273.0,1,1,53.34814,-6.26414,4,1.0,1.0,2.0,4,1125,8,20,37,201,133,54,3,15,168,28056.0,4.52,4.57,4.41,4.54,4.63,4.98,4.28,0,1.26,0.3154767904427523,0,1,0,0,1,0,0,0,0.37287222222222227,0.3148148148148148,0.14814814814814814,0.2962962962962963
45490852,168.0,3,100.0,100.0,0,1.0,1,1,53.33741,-6.23675,2,1.0,1.0,1.0,2,5,3,3,3,3,3,26,0,2,0,0.0,4.77,4.85,4.73,4.77,4.88,4.65,4.38,0,0.57,2.0884460203900277,0,1,0,0,0,0,1,0,0.7549884615384616,0.3076923076923077,0.2692307692307692,0.4230769230769231
45511063,122.0,4,100.0,76.0,0,3.0,1,1,53.35346,-6.23521,2,3.0,1.0,1.0,1,730,17,39,57,250,160,205,1,63,255,31110.0,4.7,4.74,4.49,4.91,4.91,4.54,4.57,0,5.2,1.7196930124702052,0,1,0,0,0,0,1,0,0.5420512195121951,0.22439024390243903,0.35609756097560974,0.2975609756097561
45553381,195.0,2,89.0,68.0,0,210.0,1,1,53.34513,-6.26819,4,1.0,1.0,2.0,4,1125,3,9,27,289,130,132,2,38,255,49725.0,4.58,4.67,4.47,4.85,4.77,4.94,4.34,0,2.8,0.7390703285633377,0,1,0,0,1,0,0,0,0.46778015267175577,0.2824427480916031,0.2824427480916031,0.2824427480916031
45614442,41.0,3,100.0,61.0,1,1.0,1,1,53.40358,-6.25325,2,1.0,1.0,1.0,1,1125,2,20,41,41,41,268,5,85,255,10455.0,4.85,4.85,4.83,4.9,4.96,4.72,4.79,0,4.85,6.00371777924834,0,0,1,0,0,0,1,0,0.615731954887218,0.2819548872180451,0.3533834586466165,0.22932330827067668
